keys,en,el
BANK SYSTEM UNDER ATTACK,BANK SYSTEM UNDER ATTACK,ΤΟ ΤΡΑΠΕΖΙΚΟ ΣΥΣΤΗΜΑ ΔΕΧΕΤΑΙ ΕΠΙΘΕΣΗ
NEW GAME,NEW GAME,ΝΕΟ ΠΑΙΧΝΙΔΙ
CO-OP GAME,CO-OP GAME,ΣΥΝΕΡΓΑΤΙΚΟ ΠΑΙΧΝΙΔΙ
CONTINUE,CONTINUE,ΣΥΝΕΧΕΙΑ
BOSS RUSH,BOSS RUSH,ΜΑΧΗ ΑΡΧΗΓΩΝ
OPTIONS,OPTIONS,ΡΥΘΜΙΣΕΙΣ
QUIT,QUIT,ΕΞΟΔΟΣ
BACK,BACK,ΠΙΣΩ
SELECT SLOT,SELECT SLOT,ΕΠΙΛΟΓΗ ΘΕΣΗΣ
X: delete slot   ESC: back,X: delete slot   ESC: back,X: διαγραφή θέσης   ESC: πίσω
SLOT %d — EMPTY,SLOT %d — EMPTY,ΘΕΣΗ %d — ΚΕΝΗ
SLOT %d — NEWER VERSION (locked),SLOT %d — NEWER VERSION (locked),ΘΕΣΗ %d — ΝΕΟΤΕΡΗ ΕΚΔΟΣΗ (κλειδωμένη)
SLOT %d — PRESS X AGAIN TO DELETE,SLOT %d — PRESS X AGAIN TO DELETE,ΘΕΣΗ %d — ΞΑΝΑ X ΓΙΑ ΔΙΑΓΡΑΦΗ
SELECT GUARDIAN,SELECT GUARDIAN,ΕΠΙΛΟΓΗ ΦΥΛΑΚΑ
P1: SELECT GUARDIAN,P1: SELECT GUARDIAN,P1: ΕΠΙΛΟΓΗ ΦΥΛΑΚΑ
P2: SELECT GUARDIAN,P2: SELECT GUARDIAN,P2: ΕΠΙΛΟΓΗ ΦΥΛΑΚΑ
BOSS RUSH — SELECT GUARDIAN,BOSS RUSH — SELECT GUARDIAN,ΜΑΧΗ ΑΡΧΗΓΩΝ — ΕΠΙΛΟΓΗ ΦΥΛΑΚΑ
CHRIS_BLURB,"THE TANK
6 HP · Firewall Shield
steady and unshakeable","ΤΟ ΤΑΝΚ
6 HP · Ασπίδα Firewall
σταθερός και ακλόνητος"
FLAM_BLURB,"THE SPEEDSTER
4 HP · Overclock Dash
i-frames, 2 air dashes","Ο ΤΑΧΥΤΑΤΟΣ
4 HP · Overclock Dash
i-frames, 2 εναέρια dash"
SELECT STAGE,SELECT STAGE,ΕΠΙΛΟΓΗ ΠΙΣΤΑΣ
C: switch guardian   ESC: back,C: switch guardian   ESC: back,C: αλλαγή φύλακα   ESC: πίσω
